binmids - fit	dM/dlogD (ug/m3) - fit	dN/dlogD (1/cm3) - fit		binmids - meas	dM/dlogD (ug/m3) - meas	dN/dlogD (1/cm3) - meas
51.3641	0.0271569	250.478				
52.579	0.0285565	244.2				
53.8226	0.0299918	237.793				
55.0956	0.0314611	231.275				
56.3987	0.0329623	224.664				
57.7326	0.0344934	217.979				
59.0981	0.0360518	211.238				
60.4959	0.0376349	204.459				
61.9267	0.0392399	197.659				
63.3914	0.0408638	190.854				
64.8907	0.0425033	184.062				
66.4255	0.044155	177.297				
67.9966	0.0458153	170.575				
69.6049	0.0474804	163.911				
71.2512	0.0491464	157.316				
72.9364	0.0508091	150.805				
74.6615	0.0524645	144.39				
76.4273	0.0541081	138.08				
78.235	0.0557355	131.887				
80.0854	0.0573423	125.82				
81.9796	0.058924	119.887				
83.9185	0.0604758	114.097				
85.9034	0.0619933	108.455				
87.9351	0.0634719	102.968				
90.015	0.0649069	97.6402				
92.144	0.0662939	92.4768				
94.3234	0.0676285	87.4809				
96.5543	0.0689064	82.6551				
98.838	0.0701233	78.0014				
101.176	0.0712751	73.5209				
103.569	0.0723581	69.2143				
106.018	0.0733685	65.0814				
108.526	0.0743028	61.1215				
111.093	0.0751579	57.3334				
113.72	0.0759306	53.7152				
116.41	0.0766182	50.2647				
119.163	0.0772184	46.9791				
121.982	0.077729	43.8553				
124.867	0.0781481	40.8899				
127.82	0.0784742	38.0791				
130.843	0.0787061	35.4187				
133.938	0.0788431	32.9045				
137.106	0.0788845	30.5319				
140.349	0.0788304	28.2962				
143.668	0.0786807	26.1927				
147.066	0.0784362	24.2162				
150.545	0.0780976	22.362				
154.105	0.0776663	20.6248				
157.75	0.0771437	18.9996				
161.481	0.0765317	17.4814				
165.3	0.0758326	16.0651				
169.21	0.0750488	14.7458				
173.212	0.074183	13.5185				
177.309	0.0732384	12.3784				
181.503	0.0722181	11.3208				
185.796	0.0711257	10.3411				
190.19	0.069965	9.43473				
194.688	0.0687398	8.59746				
199.293	0.0674541	7.82505				
204.007	0.0661123	7.11344				
208.832	0.0647186	6.45876				
213.771	0.0632775	5.85726				
218.827	0.0617935	5.30537				
224.003	0.0602712	4.79969				
229.301	0.0587151	4.33698				
234.724	0.0571299	3.91414				
240.276	0.0555201	3.52828				
245.959	0.0538902	3.17662				
251.777	0.0522448	2.85656				
257.732	0.0505882	2.56565				
263.827	0.0489248	2.30159				
270.067	0.0472587	2.06222				
276.455	0.045594	1.84551				
282.994	0.0439347	1.64959				
289.687	0.0422844	1.47269				
296.539	0.0406467	1.31317				
303.552	0.0390252	1.16953				
310.732	0.0374229	1.04034				
318.081	0.0358429	0.924301				
325.604	0.034288	0.820217				
333.306	0.0327608	0.726977				
341.189	0.0312637	0.64356				
349.259	0.0297988	0.569028				
357.519	0.0283681	0.50252				
365.975	0.0269734	0.443251				
374.631	0.0256162	0.390502				
383.492	0.0242978	0.343614				
392.562	0.0230193	0.301993				
401.847	0.0217816	0.265092				
411.352	0.0205855	0.232421				
421.081	0.0194315	0.20353				
431.04	0.0183199	0.178015				
441.235	0.0172511	0.155512				
451.671	0.0162248	0.135689				
462.354	0.0152412	0.11825				
473.29	0.0142998	0.102929				
484.484	0.0134003	0.0894843				
495.943	0.0125421	0.0777021				
507.673	0.0117247	0.06739				
519.68	0.0109473	0.058376				
531.971	0.010209	0.0505067				
544.554	0.00950899	0.0436455				
557.433	0.00884624	0.0376709				
570.618	0.0082197	0.032475				
584.114	0.00762827	0.0279621				
597.929	0.00707082	0.0240472				
612.071	0.00654616	0.0206555				
626.548	0.00605309	0.0177208				
641.367	0.00559037	0.0151847				
656.536	0.00515677	0.0129959				
672.065	0.00475103	0.0111092				
687.96	0.00437191	0.00948497				
704.232	0.00401816	0.00808843				
720.888	0.00368856	0.0068892				
737.939	0.0033819	0.0058607				
755.392	0.00309697	0.00497974				
773.259	0.00283261	0.0042261				
791.548	0.00258767	0.00358219				
810.269	0.00236105	0.00303273				
829.434	0.00215167	0.00256445				
849.051	0.00195847	0.00216587				
869.133	0.00178047	0.00182703				
889.69	0.00161667	0.00153934				
910.733	0.00146617	0.00129539				
932.273	0.00132807	0.00108879				
954.323	0.00120152	0.000914034				
976.895	0.00108571	0.000766402				
1000	0.000979868	0.00064184					
